#seq_id	SVM score	label	NCV
chr10.6238300.6238926	-1.495535	1	0
chr10.7757450.7758801	0.749066	1	0
chr10.8992150.8992551	-0.236409	1	4
chr10.9265550.9266026	0.157881	1	2
chr10.10567575.10568126	0.020869	1	4
chr10.12827325.12828951	0.480016	1	1
chr10.12836750.12837751	0.130912	1	2
chr10.13135125.13136301	0.145065	1	4
chr10.15772100.15773251	1.260026	1	3
chr10.16949750.16950601	0.899881	1	1
chr10.16958150.16958726	0.804163	1	2
chr10.17547050.17547476	0.469984	1	0
chr10.18095075.18095651	-0.084731	1	1
chr10.18177475.18178626	0.431161	1	3
chr10.18996800.18997851	2.060155	1	4
chr10.19029875.19030676	1.28011	1	3
chr10.19049025.19049676	1.301662	1	2
chr10.19058675.19059226	0.583266	1	0
chr10.20801875.20802726	-0.882045	1	2
chr10.21629700.21630126	-0.029087	1	1
chr10.24127225.24127701	-0.187291	1	0
chr10.26047200.26047851	0.341833	1	2
chr10.26721525.26721976	1.062953	1	0
chr10.29814375.29814876	-0.531389	1	2
chr10.30125600.30126576	0.604524	1	2
chr10.32590475.32591276	0.178686	1	1
chr10.36797900.36798876	0.170791	1	3
chr10.36858900.36859476	0.856762	1	1
chr10.36970775.36971351	0.270582	1	2
chr10.37097600.37098751	-0.690563	1	1
chr10.37116975.37117801	0.109832	1	2
chr10.37160050.37160751	0.604791	1	3
chr10.37386175.37387526	0.28103	1	2
chr10.38273025.38274351	0.344003	1	4
chr10.39040725.39041726	0.482191	1	4
chr10.39379150.39380101	0.792146	1	1
chr10.40662575.40663076	0.159026	1	3
chr10.41436325.41436826	-0.509648	1	3
chr10.41941000.41941626	0.047297	1	3
chr10.42059750.42060501	0.67193	1	1
chr10.42427750.42428276	-2.293444	1	3
chr10.42874650.42875176	0.710827	1	0
chr10.43037200.43037876	1.383832	1	0
chr10.44606850.44607351	2.05809	1	1
chr10.45130250.45130901	-0.272159	1	0
chr10.46417700.46418201	0.1482	1	3
chr10.46642275.46642951	0.245352	1	1
chr10.48975925.48976451	0.517143	1	4
chr10.49042225.49042676	1.099821	1	4
chr10.50872975.50873926	2.18593	1	1
chr10.50977125.50978151	0.829337	1	3
chr10.51546225.51546826	1.17007	1	1
chr10.51681275.51681651	0.047204	1	2
chr10.52462200.52463251	0.844235	1	2
chr10.57447250.57447726	-0.187846	1	4
chr10.57503850.57505051	0.170154	1	2
chr10.57542175.57542776	-0.090681	1	3
chr10.58412450.58413276	1.945346	1	0
chr10.58553125.58553701	0.227013	1	0
chr10.61721225.61721526	-0.606993	1	3
chr10.62328000.62328451	-0.374358	1	0
chr10.66021025.66021551	0.238091	1	0
chr10.66382700.66383951	-0.4385	1	4
chr10.66466025.66467401	0.545612	1	2
chr10.66567150.66567651	-0.484208	1	0
chr10.68928275.68928876	-0.014514	1	0
chr10.69947550.69948076	0.907131	1	4
chr10.71217425.71218201	-0.395662	1	4
chr10.79117550.79118001	-0.334641	1	4
chr10.82673475.82674301	-0.584609	1	3
chr10.84322350.84322826	0.085733	1	4
chr10.84647850.84648251	-0.688372	1	1
chr10.86521125.86521576	0.957832	1	4
chr10.86564250.86565101	0.417999	1	1
chr10.86788575.86788951	0.57803	1	1
chr10.86910025.86911301	1.408397	1	1
chr10.86951650.86952826	0.937792	1	2
chr10.88896975.88898176	0.928522	1	1
chr10.91344350.91344851	1.261456	1	2
chr10.91544000.91544476	0.325235	1	1
chr10.91625600.91626951	0.429685	1	1
chr10.92018625.92020426	0.926167	1	0
chr10.92545650.92546226	0.981593	1	3
chr10.92726150.92726701	-0.445861	1	2
chr10.92745350.92746076	0.570259	1	1
chr10.92837000.92838126	0.028814	1	2
chr10.94702050.94702801	1.033341	1	3
chr10.95771150.95772176	0.954586	1	4
chr10.96108200.96109351	0.843143	1	0
chr10.96418075.96419401	1.530169	1	3
chr10.96941875.96942851	1.351112	1	1
chr10.99573550.99574301	0.486757	1	4
chr10.104817575.104818601	1.285452	1	3
chr10.104921425.104922276	1.28514	1	4
chr10.105363475.105364301	-0.132816	1	4
chr10.109121700.109122226	0.052883	1	1
chr10.109979800.109980226	1.333857	1	4
chr10.110368175.110368726	0.060341	1	1
chr10.115008075.115008901	0.741061	1	1
chr10.118396450.118397351	0.275218	1	2
chr10.118398900.118399426	0.003631	1	4
chr10.119853925.119855501	0.550425	1	2
chr10.120262425.120263101	0.194972	1	2
chr11.5291000.5291926	0.225158	1	3
chr11.10988025.10988526	0.313849	1	0
chr11.11767950.11768676	1.424182	1	1
chr11.11840900.11841851	0.026186	1	4
chr11.12267450.12268076	0.00502	1	4
chr11.12276675.12277051	-0.228383	1	0
chr11.14081875.14082826	0.402388	1	0
chr11.17360275.17361276	0.85479	1	1
chr11.18063625.18064726	0.235669	1	0
chr11.18071200.18071676	0.728773	1	0
chr11.18816575.18817351	0.913367	1	2
chr11.20555675.20556551	0.020281	1	2
chr11.20563525.20564051	0.711005	1	3
chr11.21917425.21918151	0.462564	1	4
chr11.21934600.21935201	0.479814	1	0
chr11.22247875.22249076	0.913696	1	1
chr11.22272625.22273101	0.377646	1	0
chr11.23979350.23980051	1.598957	1	4
chr11.23995675.23996201	1.143691	1	0
chr11.24230450.24231101	1.615913	1	1
chr11.24270150.24271026	1.440028	1	3
