#seq_id	SVM score	label	NCV
chr10.6238300.6238926	-1.4605798	1	0
chr10.7757450.7758801	2.486266	1	4
chr10.8992150.8992551	-0.44432399	1	2
chr10.9265550.9266026	-0.092565605	1	2
chr10.10567575.10568126	0.14966879	1	0
chr10.12827325.12828951	1.1816435	1	3
chr10.12836750.12837751	0.36621355	1	0
chr10.13135125.13136301	1.0520605	1	1
chr10.15772100.15773251	1.5496593	1	3
chr10.16949750.16950601	0.78925245	1	1
chr10.16958150.16958726	0.69509676	1	4
chr10.17547050.17547476	0.67736638	1	1
chr10.18095075.18095651	0.0035216004	1	0
chr10.18177475.18178626	0.22533853	1	2
chr10.18996800.18997851	2.4316901	1	3
chr10.19029875.19030676	1.160276	1	2
chr10.19049025.19049676	1.3892214	1	4
chr10.19058675.19059226	0.53073028	1	2
chr10.20801875.20802726	-1.0945428	1	4
chr10.21629700.21630126	0.010389568	1	3
chr10.24127225.24127701	0.042687856	1	4
chr10.26047200.26047851	0.13281261	1	1
chr10.26721525.26721976	1.2692198	1	4
chr10.29814375.29814876	-0.099277607	1	0
chr10.30125600.30126576	0.56504384	1	2
chr10.32590475.32591276	0.3489733	1	0
chr10.36797900.36798876	0.22663272	1	0
chr10.36858900.36859476	1.0547007	1	4
chr10.36970775.36971351	0.19976294	1	2
chr10.37097600.37098751	-1.4317219	1	4
chr10.37116975.37117801	-0.019695758	1	2
chr10.37160050.37160751	0.95888495	1	3
chr10.37386175.37387526	1.6559362	1	1
chr10.38273025.38274351	0.61285782	1	2
chr10.39040725.39041726	0.32723738	1	3
chr10.39379150.39380101	1.4577592	1	0
chr10.40662575.40663076	0.25269536	1	1
chr10.41436325.41436826	-0.36448663	1	4
chr10.41941000.41941626	0.060209155	1	2
chr10.42059750.42060501	0.26982986	1	3
chr10.42427750.42428276	-2.0171978	1	4
chr10.42874650.42875176	0.88518375	1	3
chr10.43037200.43037876	1.6396022	1	0
chr10.44606850.44607351	1.8871789	1	4
chr10.45130250.45130901	-0.4144529	1	3
chr10.46417700.46418201	0.3095148	1	4
chr10.46642275.46642951	0.018644408	1	3
chr10.48975925.48976451	0.47100983	1	2
chr10.49042225.49042676	1.0731332	1	4
chr10.50872975.50873926	3.4175149	1	1
chr10.50977125.50978151	1.5839999	1	2
chr10.51546225.51546826	1.552761	1	4
chr10.51681275.51681651	-0.079366629	1	3
chr10.52462200.52463251	2.3975066	1	0
chr10.57447250.57447726	-0.12026822	1	4
chr10.57503850.57505051	0.31060438	1	4
chr10.57542175.57542776	-0.43174642	1	2
chr10.58412450.58413276	2.2740902	1	3
chr10.58553125.58553701	-0.068813122	1	0
chr10.61721225.61721526	-0.41550228	1	0
chr10.62328000.62328451	-0.18291868	1	0
chr10.66021025.66021551	0.29739346	1	1
chr10.66382700.66383951	-0.7124861	1	2
chr10.66466025.66467401	0.77594791	1	4
chr10.66567150.66567651	-0.42734137	1	0
chr10.68928275.68928876	-0.025806774	1	1
