#seq_id	SVM score	label	NCV
chr10.6238300.6238926	-0.98703126	1	3
chr10.7757450.7758801	0.97031674	1	0
chr10.8992150.8992551	-0.398832	1	4
chr10.9265550.9266026	-0.37765992	1	2
chr10.10567575.10568126	-0.21983965	1	0
chr10.12827325.12828951	0.54887337	1	3
chr10.12836750.12837751	0.37368171	1	4
chr10.13135125.13136301	0.13917696	1	0
chr10.15772100.15773251	0.88185491	1	3
chr10.16949750.16950601	0.53969739	1	3
chr10.16958150.16958726	0.28974055	1	0
chr10.17547050.17547476	-0.25409766	1	4
chr10.18095075.18095651	-0.22885011	1	4
chr10.18177475.18178626	0.36548813	1	0
chr10.18996800.18997851	1.5523132	1	2
chr10.19029875.19030676	0.49715761	1	1
chr10.19049025.19049676	0.63880234	1	1
chr10.19058675.19059226	-0.20962556	1	0
chr10.20801875.20802726	-0.65737421	1	1
chr10.21629700.21630126	-0.29727828	1	2
chr10.24127225.24127701	-0.28649284	1	2
chr10.26047200.26047851	-0.29579245	1	3
chr10.26721525.26721976	0.27606122	1	3
chr10.29814375.29814876	-0.35157554	1	4
chr10.30125600.30126576	0.265296	1	3
chr10.32590475.32591276	-0.19668823	1	0
chr10.36797900.36798876	0.031416609	1	2
chr10.36858900.36859476	0.44509485	1	0
chr10.36970775.36971351	-0.18130668	1	0
chr10.37097600.37098751	-0.60156583	1	3
chr10.37116975.37117801	-0.38040376	1	0
chr10.37160050.37160751	-0.1603729	1	3
chr10.37386175.37387526	0.49934002	1	2
chr10.38273025.38274351	0.86416738	1	4
chr10.39040725.39041726	-0.1580922	1	3
chr10.39379150.39380101	0.60145197	1	0
chr10.40662575.40663076	0.046180474	1	4
chr10.41436325.41436826	-0.1345318	1	4
chr10.41941000.41941626	-0.36229745	1	2
chr10.42059750.42060501	0.11812543	1	1
chr10.42427750.42428276	-1.3084868	1	2
chr10.42874650.42875176	0.1483127	1	3
chr10.43037200.43037876	0.57872171	1	2
chr10.44606850.44607351	0.56195061	1	2
chr10.45130250.45130901	-0.44579651	1	1
chr10.46417700.46418201	-0.18344682	1	4
chr10.46642275.46642951	-0.10126256	1	1
chr10.48975925.48976451	0.028877709	1	1
chr10.49042225.49042676	0.20663534	1	4
chr10.50872975.50873926	1.3090388	1	1
chr10.50977125.50978151	0.23683202	1	2
chr10.51546225.51546826	0.22504793	1	4
chr10.51681275.51681651	-0.062891974	1	0
chr10.52462200.52463251	1.0637091	1	0
chr10.57447250.57447726	-0.40784168	1	1
chr10.57503850.57505051	-0.092463884	1	0
chr10.57542175.57542776	-0.26829415	1	3
chr10.58412450.58413276	0.93243313	1	1
chr10.58553125.58553701	-0.13285942	1	0
chr10.61721225.61721526	-0.62372227	1	2
chr10.62328000.62328451	-0.14545354	1	4
chr10.66021025.66021551	0.071335718	1	2
chr10.66382700.66383951	0.24859776	1	1
chr10.66466025.66467401	0.33439414	1	3
